Id,Descripcion,Fecha,TotalSi,TotalNo,TotalAbstencion,TotalDispensado,Quorum,Resultado,Tipo,TipoCode,ResultadoCode,QuorumCode
34186,Boletín N° 13086-07,2020-09-09,74,63,2,0,Reforma Constitucional 3/5,Unánime,Proyecto de Ley,1,2,4
34187,"OTROS-Integración de la Comisión Mixta del artículo 70 de la Constitución Política de la República encargada de resolver las discrepancias entre ambas ramas del Congreso Nacional respecto del proyecto de reforma constitucional, originado en moción, que regula estado de alerta para prevenir daños a infraestructura crítica.",2020-09-09,121,13,4,0,Quórum Simple,Aprobado,Otros,4,1,1
34188,Boletín N° 13751-13,2020-09-09,53,78,14,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34197,"OTROS-Cuestión previa deducida por la Ministra de la Iltma. Corte de Apelaciones de Valparaíso, señora Silvana Donoso Ocampo, de que la acusación constitucional no cumple con los requisitos que la Constitución Política señala.",2020-09-10,38,106,4,3,Quórum Simple,Unánime,Otros,4,2,1
34198,"OTROS-Admisibilidad de la acusación constitucional deducida por catorce diputadas y diputados en contra de la Ministra de la Iltma. Corte de Apelaciones de Valparaíso, señora Silvana Donoso Ocampo.",2020-09-10,73,52,14,3,Quórum Simple,Aprobado,Otros,4,1,1
34199,OTROS-Integración de la comisión de tres diputados encargada de formalizar la acusación y proseguirla ante el Senado.,2020-09-10,77,42,15,2,Quórum Simple,Aprobado,Otros,4,1,1
34219,"CREACION COMISION INVESTIGADORA-Petición formulada por 63 diputados y diputadas para crear una Comisión Especial Investigadora encargada de fiscalizar los actos del Gobierno relacionados con la implementación del proceso de descentralización política, administrativa y fiscal del país, en particular aquellos que dicen relación con el traspaso de competencias hacia los gobiernos regionales, con el grado de tramitación de los reglamentos de ejecución de las leyes de descentralización, con las reducciones presupuestarias por parte del Ministerio de Hacienda a los programas de inversión de los gobiernos regionales, y con toda otra materia relacionada con el proceso de descentralización.",2020-09-22,75,51,10,0,Quórum Simple,Aprobado,Otros,4,1,1
34220,Proyecto de Resolución N°,2020-09-22,90,19,36,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
34221,Proyecto de Resolución N°,2020-09-22,140,0,5,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
34222,Proyecto de Resolución N°,2020-09-22,91,23,31,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
34223,Proyecto de Resolución N°,2020-09-22,141,0,3,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
34224,Proyecto de Resolución N°,2020-09-22,136,0,9,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
